prompt,response
How do I update my contact information in the alumni database?,"Log in to the Alumni Portal at alumni.college.edu, go to My Profile, and update your email, phone number, and mailing address. Changes are reflected within 24 hours."
How can I get a copy of my transcript?,"Transcript requests can be submitted through the Registrar's Office portal. Official transcripts take 3-5 business days and cost ₹200 per copy; unofficial copies are free and available instantly online."
Are there networking events for alumni?,"Yes, the Alumni Association hosts quarterly networking meetups in Coimbatore, Chennai, and Bangalore, plus an annual Alumni Meet in December. Check the Events tab on the portal for upcoming dates."
How do I join the alumni mentorship program?,"Register as a mentor or mentee through the Mentorship Program section of the Alumni Portal. Mentors must have graduated at least 2 years ago and complete a short onboarding form."
Can I get a alumni ID card?,"Yes, alumni ID cards can be requested through the Alumni Office by submitting your degree certificate copy and a passport-size photo. Cards are issued within 2 weeks and grant campus library access."
How do I donate to the alumni fund?,"Donations can be made online via the Give Back section of the Alumni Portal using UPI, net banking, or card payment. Donors receive an 80G tax exemption certificate via email."
Where can I find job openings shared by fellow alumni?,"Job postings from alumni and partner companies are listed under the Careers tab on the Alumni Portal, updated weekly. You can also join the Alumni LinkedIn group for real-time postings."
How do I reset my alumni portal password?,"Click Forgot Password on the login page and enter your registered email. A reset link will be sent within a few minutes; it expires after 24 hours."
Does the college offer alumni discounts on further education?,"Yes, alumni enrolling in postgraduate or certificate programs at the same institution receive a 15% tuition discount. Proof of alumni status is verified automatically using your registered email."
How do I volunteer for campus recruitment drives?,"Alumni interested in volunteering for placement or recruitment drives can sign up through the Volunteer section of the portal or email alumni.relations@college.edu."
Is there an alumni newsletter?,"Yes, a quarterly newsletter is emailed to all registered alumni covering campus updates, alumni achievements, and upcoming events. You can also read past issues on the portal's News tab."
How do I connect with classmates from my batch?,"Use the Batch Directory feature on the Alumni Portal, searchable by graduation year and department, to find and message classmates who have opted in to be listed."
